id;text;intents_before;intents_after;verdict;notes
@VARUS_channel:8359;Вітаю переможця. А тепер трохи логіки - це був приз для збільшення підписників, так як 99.999% НЕ виграли правильно буде відписатися, щоб вони знову забажали збільшити кількість підписників подібними призами і бажано не одиничними. Давайте зробимо 50 000 підписників. Українці ВСЕ можуть. 💪😁;[];"[""service""]";new;
@VARUS_channel:19215;Днепр прошу;"[""availability""]";[];new;
@VARUS_channel:11845;Варус хорошая сеть магазинов, но не всегда есть порядочные руководители,  вчера купил апельсин 2.5кг.по 99гр.какра кара в Днепре на пр. Мазепы и что три из них оказались простыми по цене 66грн. Это как получилось?;"[""price"", ""quality""]";"[""price"", ""service""]";new;
@VARUS_channel:17984;Коли буде вирішене моє питання, ніхто не написав мені;[];"[""service""]";new;
@VARUS_channel:8884;"Варус просто обманщики и мошенники.

На первой недели была в рейтенге 75 ,купила корма достаточно что бы выграть хотя бы тысячу,у них был сбой боксики мне начислили,аж через 4 дня. Покупала еще товар,в 23.45 тбыла в топе,потом резко 135.
Теперь новое кино. Пришла смс о выграше ЛапБокса и оказалось ,что у них сбой и смс пришло по ошибки. Еще такого ..еб я не видела. 

Такая сеть и вчено у них сбои. Делаешь инт ернет заказ,то же отменить нельзя,потому что еще в разработке эта возможность.

На горячую линию дозвонится не возможно, Ты стаешь первой в очереди и тебя тупо сбрасывают,при т ом что ты ожидал 20 минут.

ПРОСТО ПОЗОР";[];"[""service""]";new;
@VARUS_channel:7764;Очередной день попытка достучаться до вашей службы поддержки. Которая ложит х#й на своих клиентов.;[];"[""service""]";new;
@VARUS_channel:7232;Вони взагалі ставляться погано до замовлень онлайн, в тому числі до зворотнього зв'язку. Замовляв разів 8 нічого не збирали та не формували, фахівці на місці просипаються тоді, коли вже прийшов за замовленням і як завжди - ой, цього немає, просимо вибачення. Накой мені вибачення - робіть свою роботу гідно. Не поганий магазин, але відношення таке, що їм ще потрібно багато повчитися від Метро та Сільпо;"[""availability""]";"[""availability"", ""service""]";new;
@VARUS_channel:2391;І як дізнатися , що ти вже береш участь в акції?;[];"[""service""]";new;
@VARUS_channel:16809;Тоді треба виправити у буклеті. Бо там вказано, що до 30.04;[];"[""service""]";new;
@VARUS_channel:18103;"А Ви вважаєте, що доставку замовляють лише інваліди та ухилянти? А може ще є люди, які просто оцінюють дорожче свій час-півтора життя за ціну доставки? І це не про рівень достатку. Не треба йти, ходити по магазину, він може не працювати під час тривоги, стояти в черзі, перти пакети додому, можливо під дощем чи в спеку. Замовив і все, а цей час витрачаєшь на дитину, дружину, хоббі, роботу чи ще щось більш цікаве за похід до магазину. Тому що доставка повинна бути ОК завжди, це маст хев, принцип ""як для себе"", як кажуть ""якщо щось робиш - роби це добре, або не берись взагалі"".";"[""availability""]";"[""service""]";new;
