id;text;intents;verdict;notes
@VARUS_channel:4940;Співчуваю Вам… особисто стикнувся з аналогічною ситуацією… окрім цього, у привезених курʼєром пакунках останнім часом спостерігається недостача товару… хто краде оплачений товар - курʼєр або збиральники пакунків - було б дуже цікаво дізнатися, однак це varus не хвилює… проводити численні акції varus має можливість, а доставити покупцям оплачений товар в повному обсязі та своєчасно - ні. Дуже погана політика магазину…((((;"[""service""]";correct;
@VARUS_channel:12271;"1. 
Горячий блин намазать сливочным маслом и притрусить сахар, скрутить  трубочкой.
2.
Сливочное масло + мед. 👍";[];correct;
@VARUS_channel:18889;Це свідчить про що? Працівники варусу неякісно виконують свою роботу. Що і потрібно  їм було признати;"[""service""]";correct;
@VARUS_channel:14259;Ше й так дивно. При анонсі була одна ціна,а як дійшло до діла,то інша 😁;"[""price""]";correct;
@VARUS_channel:10350;Що то ціна на Ікру зовсім не 109.90 грн а дорожче;"[""price""]";correct;
@VARUS_channel:7535;В додатку після того як зібрали замовлення,не можна глянути перелік продуктів,пише сталася помилка,і так вже неділі дві;"[""service""]";correct;
@VARUS_channel:4153;Дякую  за відповідь);[];correct;
@VARUS_channel:2222;❤️‍🔥;[];correct;
@VARUS_channel:372;Христос Воскрес!Вас також зі святом!;[];correct;
@VARUS_channel:13157;Що значить без цукру?? А патока, а фруктоза в печиві. Ціна як за корисне, а насправді не є таким.;"[""price"", ""quality""]";correct;
@VARUS_channel:128;🫶;[];correct;
@VARUS_channel:32;Достали обман;"[""service""]";correct;
@msuaaaa:9810;Миють, миють, не переживайте)));[];correct;
@VARUS_channel:11961;Мабуть, треба відписатися, бо «немає сечі» читати ці шаблонні відповіді;"[""service""]";correct;
@VARUS_channel:12322;,,.все перемішати і заправити майонезом 🥰;[];correct;
@msuaaaa:6664;спасибо;[];correct;
@VARUS_channel:2988;Доставка и правда ужас ужас, деньги возвращаются, но через три дня.;"[""service""]";correct;
@msuaaaa:9965;Я ще бачила з пломбіром в Сільпо;"[""availability""]";correct;
@VARUS_channel:9947;Круті!!!🤩;[];correct;
@VARUS_channel:19633;Міжнародний спонсор війни працює і процвітає в Україні . Товари у всіх торговельних мережах, реклама на всіх каналах. Санкцій від держави немає. Я особисто не купую ніяких товарів від цієї корпорації, навіть українських брендів.;[];correct;
@VARUS_channel:10452;Ну как всегда;[];correct;
@VARUS_channel:8889;"Варус просто обманщики и мошенники.

На первой недели была в рейтенге 75 ,купила корма достаточно что бы выграть хотя бы тысячу,у них был сбой боксики мне начислили,аж через 4 дня. Покупала еще товар,в 23.45 тбыла в топе,потом резко 135.
Теперь новое кино. Пришла смс о выграше ЛапБокса и оказалось ,что у них сбой и смс пришло по ошибки. Еще такого ..еб я не видела. 

Такая сеть и вчено у них сбои. Делаешь инт ернет заказ,то же отменить нельзя,потому что еще в разработке эта возможность.

На горячую линию дозвонится не возможно, Ты стаешь первой в очереди и тебя тупо сбрасывают,при т ом что ты ожидал 20 минут.

ПРОСТО ПОЗОР";"[""service""]";correct;
@VARUS_channel:3818;В самісіньке серденько;[];correct;
