id;post;text;sentiment;sarcasm;intents;unclear
@VARUS_channel:1693;"🔸 Ковбаски курячі
🔸 Млинці Levada в асортименті 310 гр
🔸 Віскі Bushmills Original купажований 40% 0.7 л";Чого про це зранку , наприклад , не  повідомляти ?;negative;false;"[""service""]";false
@VARUS_channel:1806;"Друзі, ми просимо вибачення за затримку з оголошенням результатів. 

Проте маємо га-га-гарну новину! Акція продовжена до 14.07 і попереду багато подарунків 🤩🪿

Але тепер — зустрічай переможців минулого тижня, які отримають стильову кавоварку Smeg 🤩 

Пʼять щасливчиків опинилися в ТОП-1000 найактивніших гравців у мобільній грі «Гусь Призолов»!

А система обрала їх переможцями👇

1. polina123261
2. player_495
3. player_1892
4. player_3057
5. player_3245

Гра триває! І попереду ще є круті призи, щотижня рейтинг обнуляється, а змагання починаються зно-о-ову — тож у тебе є всі шанси стати переможцем наступного тижня 😎

Відео визначення переможців доступне за цим посиланням 👈🏻";"Увы. 
Задача заманить в магазин и с ней они справились. 😊";negative;true;"[""service""]";false
@VARUS_channel:8062;"Хто Щастябокс придбає, той обовʼязково знайде сертифікат із промокодом від нашого партнера АЗК WOG 🤩

Варіантів промокоду декілька: 

🔸 бонуси на наступну заправку якісним пальним на WOG 
🔸 30% бонусами на WOG CAFE
🔸 50 грн бонусами на WOG PRIDE 

Цікаво, який дістанеться тобі? Шукай Щастябокс у супермаркетах VARUS та на VARUS.UA 🧡

P.S. Для учасників гри тамагочі-Варусятко на бокс діє знижка 30%";Магазин лише реалізує товар за якість та безпечність відповідає виробник. Всі знають, щоб товар попав на полицю потрібно $, тому варусу байдуже, що на полиці, тому виробник дав $ і вони ставлять все що завгодно, оскільки на них відсутня відповідальність за якість та безпечність товару, яка на полиці;negative;false;"[""quality"", ""service""]";false
@VARUS_channel:18782;"Від поживних страв до швидких перекусів або раптового візиту друзів — усе візьме на себе власна торгова марка Varto. Її варто обирати, бо і смакоти купа, і ціни вигідні 🧡

Напиши в коментарях один продукт, який завжди береш на щоденних закупах 👇";ковбаса;neutral;false;[];true
@VARUS_channel:12279;"[опрос] Млинці з якою начинкою смакують більше? 😋
— З куркою та грибами 🍄‍🟫
— З сиром і маком 😍
— З сьомгою 🐠
— З яблуками 🍏
— Пишу свій варіант у коментарях ✍🏼";Все. + Ливер;neutral;false;"[""taste""]";false
@VARUS_channel:12224;"Розіграш завершено!
Вітаємо переможця @taniastet🥳

Ми звʼяжемося з вами найближчим часом 🧡";То я проти тої Великої Ідеї. Так більше достовірності, що не придумали самі розіграш;neutral;false;"[""service""]";false
@VARUS_channel:4516;"Вітаємо переможця, який сьогодні виграє АЙФОН 16 ПРО🥳🎁

🔸 Відео вибору девʼятого переможця АЙФОН 16 ПРО";https://varus.ua/promotion/shoroku-shobilshe;neutral;false;[];true
@VARUS_channel:12234;"[опрос] Вареники з якою начинкою смакують більше? 😋🥟
— З капустою 
— З солодким сиром 
— З картоплею та грибами 
— З картоплею 
— Або пиши свій варіант у коментарях ✍🏼";Солоний сир, вишня;neutral;false;"[""taste""]";false
@VARUS_channel:16953;"[опрос] А тобі смакує спаржа?
— Оо тааак😍
— Ні👎🏻
— Поки не визначився👀";А что по цене?;neutral;false;"[""price""]";false
@VARUS_channel:7337;[картинка] Пропозиція дійсна з 27.11 по 03.12.2025 ДИТЯЧА ЛІТЕРАТУРА в асортименті ШКАРПЕТКИ чоловічі жіночі дитячі в асортименті ТМ Богема КОЛГОТИ, ПАНЧОХИ ЖІНОЧІ 20 ден, 40 ден Слім Шик Ловерс Амалія ТМ Джулія КАПЦІ ДОМАШНІ чоловічі жіночі дитячі в асортименті ВАЛИК ДЛЯ ЧИЩЕННЯ одягу запаска ТМ ФрекенБок НАБІР ДЛЯ ПРИБРАННЯ, ГОСПОДАРЧІ СЕРВЕТКИ підлоги вологі та сухі швабра Цитрус Бріз ТМ Вортекс ТОВАРИ ДЛЯ ДОМУ VARUS різномайжжя щодня ДИТЯЧІ ІГРАШКИ НАБІР ДЛЯ ТВОРЧОСТІ Розкопки динозаврів ІГРОВИЙ НАБІР Трансформер дино яйце КОНСТРУКТОР в яйці Динозаври» ЛУК З ДАРТСОМ Крокодил ІГРОВИЙ НАБІР Вантажівка з динозаврами ІГРОВИЙ НАБІР Дино-трак ІГРОВИЙ НАБІР Збери динозаврів 4в1 ІГРОВИЙ НАБІР Динозавр з крилами ЛЯЛЬКА Красуня-Русалка і Дельфін НАБІ;Теж саме;neutral;false;[];true
@VARUS_channel:11602;"[опрос] Яка твоя ідеальна романтична 
вечеря? 💓
— Паста 🍝
— Суші 🍣 
— Легкий салат 🥗 
— Мʼясний стейк 🥩 
— Вистачить десерту 🧁
— Будь-що, аби не готувати 😅
— Пиши свій варіант у коментарях ✍🏼";А як же копчена скумбрія з картопелькою 🤤;positive;false;"[""taste""]";false
@VARUS_channel:8801;"[опрос] Які ще завдання від «Варусятко-Тамагочі» тобі залишилось виконати? 🎁
— Зробити онлайн-замовлення від 1000 грн 💰
— Зробити офлайн-покупку на 500 грн
— Зробити покупку через Scan&Go 📲
— Купити товар-партнерів 🛍️
— Підписатися на Telegram VARUS 😎
— Залучити друга 😏
— Зробити сьогоднішню добру справу 🥰";Написала как есть. Сейчас скину фото баланса, чтобы Вы не думала, что я пишу просто так;neutral;false;"[""service""]";false
@VARUS_channel:12286;"[опрос] Млинці з якою начинкою смакують більше? 😋
— З куркою та грибами 🍄‍🟫
— З сиром і маком 😍
— З сьомгою 🐠
— З яблуками 🍏
— Пишу свій варіант у коментарях ✍🏼";З икрой;neutral;false;"[""taste""]";false
@msuaaaa:8966;"🍰Новинка в Сільпо 🏢
🛑Сметанник
🛑Медовичок
🛑Спартак
Кажуть, дуже смачно
А цитати на пакуванні – просто 🤌";Есть ещё и хуже;negative;false;"[""quality""]";false
@VARUS_channel:11369;"Варусівська мова любові — захопити смаколик не тільки собі, а й комусь особливому. Запамʼятовуй, адже такий знак уваги точно не залишиться без солодкої відповіді 💋

Ти маєш раціО, коли обираєш для такої романтичної місії наші пончики власного виробництва. Вони заслуговують усіх найапетитніших компліментів світу 😋

#маєшраціО";"Так 😊 Каву можна придбати в магазинах з VARUS CAFE.
Перевірити, в яких саме магазинах, можна на сайті: varus.ua/stores";neutral;false;[];true
@VARUS_channel:11664;"О-о-о-сь так ми любимо кожного Варусолюба. Настільки, що й полиць не вистачить для всіх сердечок 🧡 

Милуємось, коли ти задоволено наповнюєш кошик смако-знахідками чи приходиш забрати своє онлайн-замовлення — бо кохання і справді між рядами VARUS. З Днем святого Валентина!";Вітаємо! Відповіли Вам в Instagram;neutral;false;[];true
@VARUS_channel:13194;"Акції одного дня повертаються 😎

🔸Креветки Ванамей очищені кільце з соусом світ чилі ТМ Delfin
🔸Пюре дитяче груша-малина-чорниця; манго ТМ Gerber";У вас це було вказано? Ні не було! Це омана покупця.;negative;false;"[""service""]";false
@VARUS_channel:9243;"Не забудь про зимову магію з VARUS та Binance

Нагадуємо: святкова програма Winter Shop&Drop у самому розпалі ✨
Граєш у «Варусятко Тамагочі» — отримуєш не лише радість для Варусяка, а й шанс на криптобонуси від Binance.

Як це працює?
🔸 Виконуй завдання у грі та збирай боксики
🔸 Відкривай подарунки й отримуй промокоди
🔸 Активуй бонуси на Binance після авторизації

На кону:
🔸 головний приз — 0,1 BTC
🔸 бонуси 20, 50, 100 USDC
🔸 та інші святкові винагороди 🎁

⏳ Winter Shop&Drop триває до 13 січня 2026 року — саме час спробувати удачу.

Починай гру, збирай боксики та зустрічай свята з приємними бонусами 🧡";Так, з Бінансом лажа. Другий конкурс Варуса з біржами комом. Певно треба звільняти відповідального.;negative;false;"[""service""]";false
@VARUS_channel:8649;"[опрос] А ти вже купив Щастябокс? 🎁
— Таак ☺️
— Ні, але хочу 😎
— А що це? 🙈 (Дивись наші минулі дописи, якщо пропустив)";Щодо КФС- це власник знижки платить 220 грн за комбо меню... Яке коштує 250. Єва- сьогодні зайшла принципово скористатись знижкою, вони на мене витрішіли очі і сказали: - що це ? Знижка не пробилась, я оплатила повну суму товару! В Подорожник не ходила! Київстар ТБ не має покриття. Дуже окупаються,нічого не скажеш!;negative;false;"[""service""]";false
@VARUS_channel:9370;[картинка] Пропозиція дійсна з 03.01 по 07.01.2026 М'ЯКА ІГРАШКА символ року Кінь в асортименті 9-16см ВІД 29⁹⁰ 1шт М'ЯКА ІГРАШКА Видра Єнот Хом'як 20см 21см 22см 169⁹⁰ 1шт М'ЯКА ІГРАШКА Песик кудлатий Кіт з білим пузиком 22см 179⁹⁰ 1шт М'ЯКА ІГРАШКА Пінгвін з рюкзачком 20см 189⁹⁰ 1шт М'ЯКА ІГРАШКА Оленятко Тюлень 25см, 50см 199⁹⁰ 1шт М'ЯКА ІГРАШКА Ведмідь лежачий 40см 349⁹⁰ 1шт М'ЯКА ІГРАШКА символ року Кінь в асортименті 22-30см ВІД 119⁹⁰ 1шт ТОВАРИ ДЛЯ ДІТЕЙ VARUS різномаїжжя щодня АКСЕСУАРИ ДЛЯ ПРИГОТУВАННЯ в асортименті ТМ Варто 5-20м ВІД 28⁵⁰ 1шт ЄМНІСТЬ ДЛЯ ЗБЕРІГАННЯ продуктів в морозильній камері в асортименті ТМ Хельсінкі ВІД 37;Йой😩 Поспішаємо все виправити.;neutral;false;[];true
