id;post;post_media;caption;text;intents_v1;intents_model;intents_final;notes
@VARUS_channel:11983;"[опрос] Вареники з якою начинкою смакують більше? 😋🥟
— З капустою 
— З солодким сиром 
— З картоплею та грибами 
— З картоплею 
— Або пиши свій варіант у коментарях ✍🏼";;Вареники з якою начинкою смакують більше? 😋🥟 ⏎ — З капустою  ⏎ — З солодким сиром  ⏎ — З картоплею та грибами  ⏎ — З картоплею  ⏎ — Або пиши свій варіант у коментарях ✍🏼;Я з Рівненщини і в дитинстві бабуся ліпила вареники з цією начинкою лише для нас двох, а решта сімʼї любили з картоплею просто, тому ця згадка дуже мене потішила🥰;"[""taste""]";"[""taste""]";"[""taste""]";"tl-llm; nostalgia filling story under taste poll (ruling-6 family)"
@VARUS_channel:12044;"[опрос] Вареники з якою начинкою смакують більше? 😋🥟
— З капустою 
— З солодким сиром 
— З картоплею та грибами 
— З картоплею 
— Або пиши свій варіант у коментарях ✍🏼";;Вареники з якою начинкою смакують більше? 😋🥟 ⏎ — З капустою  ⏎ — З солодким сиром  ⏎ — З картоплею та грибами  ⏎ — З картоплею  ⏎ — Або пиши свій варіант у коментарях ✍🏼;Вареники с грибами і голандським сиром;"[""taste""]";[];"[""taste""]";"tl-llm; filling answer under taste poll"
@VARUS_channel:1219;"Сьогодні вітаємо шефів наших сердець! З Днем батька, найкращі. Вдячні за ваш запал і гострі жарти, підтримку без слів і любов, замість спецій, а ще за те, що з вами завжди можна сміливо діяти не за кулінарними книгами, а за покликом 🧡

Ділись в коментарях, що коронного готує твій тато?";VARUS_channel_2295.jpg|VARUS_channel_2296.jpg|VARUS_channel_2297.jpg|VARUS_channel_2298.jpg|VARUS_channel_2299.jpg;;Тато вміє пекти смачні кекси та пироги. А чоловік для доньки робить смачнющий плов.;"[""taste""]";[];"[""taste""]";"tl-llm; family-cooking answer to the post question"
@VARUS_channel:12682;"🔸Сир Чеддер і Моцарелла тертий ТМ Mlekovita 
🔸Щупальця гігантського кальмара свіжоморожені ТМ Wofco
🔸Віскі ТМ Jameson
🔸Засіб для миття посуду Зелений лимон ТМ Frosch 

📍 Пропозиції діють з 17.02 по 02.03

Більше пропозицій шукай у VARUS та на VARUS.UA 🧡";VARUS_channel_7422.jpg|VARUS_channel_7423.jpg|VARUS_channel_7424.jpg|VARUS_channel_7425.jpg|VARUS_channel_7426.jpg;;Хай бог милує,ми краще Матіаса візьмем,та з картопелькою,та з цибулькою навернемо)));"[""taste""]";;"[""taste""]";"tl-llm; food preference (Matias herring over listed goods)"
@VARUS_channel:1308;[картинка] МАКАРОНИ в асортименті ТМ Діо Барі 250г, 500г з твердих сортів пшениці ~ 8-10 хвилин ВІД 94.40 -30% Добре підходить для пасти Фарфалле у вершковому соусі з лососем КОВБАСА сирокопчена вищого ґатунку Мацiк ТМ Смачні Страви 100г 83.99 114.99 -27% КОВБАСА сиров'ялена вищого ґатунку Чорізо Чорізо Пікантна ТМ Аргал 200г ІСПАНІЯ 169.90 248.90 -32% ХАМОН нарізка Резерва ТМ Магусто 50г ІСПАНІЯ 69.90 99.90 -30% ГРУДИНКА БАЛИК сирокопчений вищого ґатунку Чорний Кабан ТМ Натура ВІД 56.89 -27% СИР Мааздам Голд 45% ТМ Цесвайн 100г ЛАТВІЯ 43.99 59.99 -27% СИР з червоним Песто 50% ТМ Кью-Концепт 100г;VARUS_channel_2329.jpg|VARUS_channel_2330.jpg|VARUS_channel_2331.jpg|VARUS_channel_2332.jpg|VARUS_channel_2333.jpg|VARUS_channel_2334.jpg|VARUS_channel_2335.jpg|VARUS_channel_2336.jpg|VARUS_channel_2337.jpg|VARUS_channel_2338.jpg;МАКАРОНИ в асортименті ТМ Діо Барі 250г, 500г з твердих сортів пшениці ~ 8-10 хвилин ВІД 94.40 -30% Добре підходить для пасти Фарфалле у вершковому соусі з лососем КОВБАСА сирокопчена вищого ґатунку Мацiк ТМ Смачні Страви 100г 83.99 114.99 -27% КОВБАСА сиров'ялена вищого ґатунку Чорізо Чорізо Пікантна ТМ Аргал 200г ІСПАНІЯ 169.90 248.90 -32% ХАМОН нарізка Резерва ТМ Магусто 50г ІСПАНІЯ 69.90 99.90 -30% ГРУДИНКА БАЛИК сирокопчений вищого ґатунку Чорний Кабан ТМ Натура ВІД 56.89 -27% СИР Мааздам Голд 45% ТМ Цесвайн 100г ЛАТВІЯ 43.99 59.99 -27% СИР з червоним Песто 50% ТМ Кью-Концепт 100г;"Хоч би башкою поміркували, скільки ті пенсіонери отримують👹👹👹,
В колись був любимий магазин
Знаю, що мене видалять за цій коментар";"[""price""]";[];"[""price""]";"tl-llm; pensioners cannot afford — price complaint"
@VARUS_channel:13451;"Зазирнули в рядки Кобзаря та й пофантазували, яке замовлення він би зробив у VARUS CAFE 🧡

Сьогодні по-особливому відчувається, наскільки багата наша країна: людьми, словами і стравами. Цінуймо та зберігаймо нашу культуру 🇺🇦";VARUS_channel_7615.jpg|VARUS_channel_7616.jpg|VARUS_channel_7617.jpg|VARUS_channel_7618.jpg|VARUS_channel_7619.jpg|VARUS_channel_7620.jpg|VARUS_channel_7621.jpg;;Вареники;"[""taste""]";[];"[""taste""]";"tl-llm; dish answer to CAFE fantasy question"
@VARUS_channel:13510;"🌱 Закуска овочева Закарпатська ТМ Верес
🌱 Пиріжки пісні з сочевицею та грибами 

Інші товари до посту дивись тут 👈🏻";VARUS_channel_7732.jpg|VARUS_channel_7733.jpg;;Військова таємниця.;"[""price""]";[];[];"tl-llm; off-topic joke (P1) -> unclear:true; image consulted: plain product card, no question"
@VARUS_channel:1453;[картинка] МАКАРОНИ в асортименті ТМ Діо Барі 250г, 500г з твердих сортів пшениці ~ 8-10 хвилин ВІД 94.40 -30% Добре підходить для пасти Фарфалле у вершковому соусі з лососем КОВБАСА сирокопчена вищого ґатунку Мацiк ТМ Смачні Страви 100г 83.99 114.99 -27% КОВБАСА сиров'ялена вищого ґатунку Чорізо Чорізо Пікантна ТМ Аргал 200г ІСПАНІЯ 169.90 248.90 -32% ХАМОН нарізка Резерва ТМ Магусто 50г ІСПАНІЯ 69.90 99.90 -30% ГРУДИНКА БАЛИК сирокопчений вищого ґатунку Чорний Кабан ТМ Натура ВІД 56.89 -27% СИР Мааздам Голд 45% ТМ Цесвайн 100г ЛАТВІЯ 43.99 59.99 -27% СИР з червоним Песто 50% ТМ Кью-Концепт 100г;VARUS_channel_2329.jpg|VARUS_channel_2330.jpg|VARUS_channel_2331.jpg|VARUS_channel_2332.jpg|VARUS_channel_2333.jpg|VARUS_channel_2334.jpg|VARUS_channel_2335.jpg|VARUS_channel_2336.jpg|VARUS_channel_2337.jpg|VARUS_channel_2338.jpg;МАКАРОНИ в асортименті ТМ Діо Барі 250г, 500г з твердих сортів пшениці ~ 8-10 хвилин ВІД 94.40 -30% Добре підходить для пасти Фарфалле у вершковому соусі з лососем КОВБАСА сирокопчена вищого ґатунку Мацiк ТМ Смачні Страви 100г 83.99 114.99 -27% КОВБАСА сиров'ялена вищого ґатунку Чорізо Чорізо Пікантна ТМ Аргал 200г ІСПАНІЯ 169.90 248.90 -32% ХАМОН нарізка Резерва ТМ Магусто 50г ІСПАНІЯ 69.90 99.90 -30% ГРУДИНКА БАЛИК сирокопчений вищого ґатунку Чорний Кабан ТМ Натура ВІД 56.89 -27% СИР Мааздам Голд 45% ТМ Цесвайн 100г ЛАТВІЯ 43.99 59.99 -27% СИР з червоним Песто 50% ТМ Кью-Концепт 100г;"Что-то, конечно, может у меня перележать до состояния просрочки, но это уже будет мой собственный недосмотр, Варус тут уже не при делах.

Вы, наверное, не видели, какие скандалисты встречаются среди людей, вряд ли Варус хочет разборки и претензии.";"[""quality""]";"[""service""]";[];verdict: operator (pattern-quiz 03.08): cross-commenter reply -> [] + unclear:true
@VARUS_channel:17767;"Зніми свої рожеві окуляри! І заміни їх на морозивні 😎

Розпочни літо з дегустації прохолодно-гастрономічного задоволення від нашої власної ТМ Varto. Що візьмеш першим: ріжок з наповнювачем, плодово-ягідне, класичний пломбір або щось інше? 🍦";VARUS_channel_9440.jpg;;Класичний;"[""taste""]";[];"[""taste""]";"tl-llm; flavour answer"
@VARUS_channel:18780;"Від поживних страв до швидких перекусів або раптового візиту друзів — усе візьме на себе власна торгова марка Varto. Її варто обирати, бо і смакоти купа, і ціни вигідні 🧡

Напиши в коментарях один продукт, який завжди береш на щоденних закупах 👇";VARUS_channel_9833.jpg;;мʼясо;"[""taste""]";;[];"tl-llm; staple answer under shopping-list post -> per 18782 precedent (confirmed in check20) unclear:true"
