id;channel;carrier;date;hit;pattern;text;brand;line;category;size;fat;notes
@VARUS_channel:7119;@VARUS_channel;comment;2025-11-22T14:16:42+00:00;category:dairy:сир;5%;Замовлення 110000215176 від 20.11.25. Після оплати картою 21.11.25 сир кисломолочний український 5% пробився по повній ціні,хоча повинен був йти, як 2 по ціні одного.Звертаю увагу на те,що під час формування онлайн замовлення знижка була,а після оплати картою в чеку її вже не було.Зверталась неодноразово на гарячу лінію з цього приводу.Результату нуль. Яким чином отримати переплату в 515 грн?Чому я повинна нервувати і намагатися комусь щось доводити, якщо це помилка ВАРУСА?;;;;;;
@VARUS_channel:7440;@VARUS_channel;comment;2025-11-30T10:08:07+00:00;brand:varus-pl;10%;VARUS Онлайн замовлення № 2000707191від 29.11 без моєї згоди перенесли на добу. Вам не вистачило дев'яти годин щоб зібрати замовлення. Мало того, що ви не узгодили це питання, так ще й вирішили не нараховувати бонуси. Бо гроші списали 30.11, а пропозиція бонусів була 29.11 включно. Якщо замовлення перенесли ви, то будьте ласкаві, збережіть умови на день замовлення. А саме 10% знижки на неакційні товари, та 10% знижки на деякі інші товари, як то 6 уп чаю граф в моєму замовленні.;;;;;;
@VARUS_channel:800;@VARUS_channel;comment;2025-05-29T07:12:21+00:00;category:ice-cream:морозив;39.90грн;Звичайна ціна даного морозива 39.90грн.;;;;;;
@VARUS_channel:8297;@VARUS_channel;comment;2025-12-12T09:07:48+00:00;brand:varus-pl;100 грн;🔸 Солодкі смаколики 🔸 Картка на +900 щастя для тамагочі Варусятка у грі 🔸 5 сертифікатів з бонусами від наших партнерів (EVA, KFC, Київстар ТБ, WOG та мережа аптек «Подорожник»). 🔸 Один з 10 000 сертифікатів VARUS номіналом 100 грн з унікальним QR кодом. 🔸 Одна з 5 000 ювелірних прикрас.;;;;;;
@VARUS_channel:1775;@VARUS_channel;post_text;2025-03-28T11:34:01+00:00;brand:varus-pl;1499 грн;Безкоштовна доставка? Так-так, усе правильно 😎 Замовляй на VARUS.UA від 1499 грн — отримуй своє замовлення без жодних доплат за доставку. 🔸Багато не буває – додавай усе, що любиш 🔸Економія на доставці – більше коштів на смаколики 🔸Зручно, швидко та прямо до дверей Що ще треба для ідеального шопінгу? 🛍️;;;;;;
@VARUS_channel:1912;@VARUS_channel;post_text;2025-05-01T07:00:07+00:00;category:dairy:сметан;15%;"Є в нас передчуття, що ти в майбутньому точно подякуєш собі за ррраціональні рішення. Особливо тоді, коли залишиш зайві витрати у минулому та заведеш нову звичку — частіше заглядати в наш акційний каталог 👀 🔸 Ковбаски шашличні ТМ Київський МК 🔸 Сметана 15% ТМ Харківська 🔸 Королівські креветки в панцирі 🔸 Кетчуп лагідний, шашличний ТМ Щедро Більше вигідно-смачного шукай у нашій газеті на VARUS.UA 🧡 Заощаджуй з акційними товарами з 01.05 по 07.05 у мережі VARUS, окрім магазинів формату «VARUS to go» за адресами: м. Дніпро, вул. Акінфієва, 9В; м. Київ, вул. Жилянська, 59";;;;;;
@VARUS_channel:2119;@VARUS_channel;post_text;2025-06-10T14:06:57+00:00;category:dairy:молочн;39,90 грн;Смачні молочні знижки від власної ТМ Varto у VARUS! Зая та Котя вже запаслися улюбленими молочними продуктами — і вам радять! Бо зараз дуже приємні ціни від 39,90 грн на: 🔸Сир кисломолочний 5% ТМ Varto 🔸Сметана 15% ТМ Varto 🔸Масло селянське 73% ТМ Varto ✅ Користь, смак і економія — усе разом! 🗓 Акція діє з 10.06.2025 по 23.06.2025 Варто обирати ТМ Varto! Шукайте в мережі VARUS 🛒;;;;;;
@VARUS_channel:2562;@VARUS_channel;post_text;2025-06-30T15:03:53+00:00;category:dairy:масл;81,5%;Кількість обмежена 😎 🔸 Вода Aqua Миргород в асортименті ТМ Varto 🔸 Печінка тріски ТМ WestFjords 🔸 Масло екстра 81,5% ТМ Столиця смаку 🔸 Гель для прання в асортименті ТМ Losk;;;;;;
@VARUS_channel:4791;@VARUS_channel;post_text;2025-10-02T11:21:58+00:00;brand:varus-pl;50%;Космос приховує багато таємниць, але VARUS готовий довірити тобі одну — в одній далекій галактиці є 12 сирних планет 🧀 І смак кожної можна продегустувати на СирФесті з 02.10 по 15.10! Всі вони різні: одна відзначається делікатною вишуканістю, інша — ноткою пікантності. Ходи у VARUS набивати кошик смакотою зі знижками до 50% на понад 400 товарів 😋;;;;;;
@VARUS_channel:9580;@VARUS_channel;post_text;2026-06-06T12:05:28+00:00;brand:varus-pl;1 грн;Разом із Happy Paw допомагаємо хвостикам у притулках 🧡 🔸Корм для котів ТМ Brit 🔸Корм для котів ТМ Purina One 🔸Корм для собак ТМ Purina One З 04.06 до 01.07 купуйте товари брендів-партнерів у VARUS, а ми передамо 1 грн з кожного товару на корм для тварин. Робіть покупки та долучайтеся до доброї справи!;;;;;;
